Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility,prophet_predicted_price,llama_sentiment,llama_sentiment_confidence,gemini_sentiment,gemini_sentiment_confidence,AAPL,KO,TSLA,V,XOM
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,68.84103393554688,370732000,67.65699996948243,73.15837421417237,76.45169975280761,70.36967645528759,73.09535482045202,-2.725678365164427,-2.0744193436382963,-0.6512590215261307,45.068568126544235,62.0,76.0,53.51785932268415,27.890436101194297,73.15837421417237,83.46343867661103,62.853309751733704,4.853393282209124,0.1198082665473159,-1219603600,74.59801721994315,-3.826591566724935,-14.436542186534208,5.152532231219332,103314103.78085697,63.64540739263694,1.0,0.91943359375,0.0,0.9999978541875691,True,False,False,False,False
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.98484420776367,322423600,66.45899963378906,72.1241241455078,76.16099975585938,68.85934187423824,72.16625458771237,-3.3069127134741336,-2.320918017605464,-0.9859946958686696,40.05291505656977,60.0,76.0,3.4531354904174805,19.12679520797688,72.1241241455078,83.14243822996521,61.1058100610504,5.238571984427316,-0.128646955965738,-1542027200,74.11041600079963,-9.001767857058917,-25.46237956145975,5.509157042228703,97200596.52388752,58.08983561337532,1.0,0.9609375,0.0,0.9990290150708409,True,False,False,False,False
2020-03-17,61.87749862670898,64.40249633789062,59.59999847412109,63.21500015258789,62.62238693237305,324056000,64.8349998474121,71.29737415313721,75.93814979553223,67.99098160936896,71.50319870362908,-3.512217094260123,-2.559177832936396,-0.9530392613237272,41.593069510005456,59.59999847412109,76.0,22.042691110500172,26.337895307867267,71.29737415313721,82.38756528412007,60.207183022154354,5.378393173217773,0.0439700821653734,-1217971200,73.74307508064452,-11.382910262982293,-20.73354212841644,5.54509556549143,95194059.10475938,53.74625017946213,1.0,0.80322265625,0.0,0.9999959466272526,True,False,False,False,False
2020-03-18,59.942501068115234,62.5,59.27999877929688,61.66749954223633,61.089393615722656,300233600,63.39700012207031,70.33549919128419,75.67249984741211,67.01813821442548,70.77462839537776,-3.756490180952284,-2.7986403025395736,-0.95784987841271,43.998927771568965,59.27999877929688,76.0,14.27930974061882,13.258378780512158,70.33549919128419,81.25277258326943,59.41822579929894,5.307857513427734,-0.0244799589751834,-1518204800,73.37729991395967,-10.441852837969744,-23.77788706176127,5.458636695992626,86594017.66028583,62.26782987614388,1.0,0.85205078125,1.0,0.999775950826718,True,False,False,False,False
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,60.62131881713867,271857200,63.224500274658205,69.39149932861328,75.4044497680664,66.12227074987143,70.06502626941084,-3.942755519539403,-3.0274633459395397,-0.9152921735998638,43.661285929638446,59.27999877929688,76.0,11.453353921745745,15.92511825762158,69.39149932861328,80.02417762338428,58.758821033842274,5.096964427403042,-0.0076620562033408,-1790062000,73.05208834210201,-1.3898388621933375,-23.577893191330833,5.316339147385501,76377087.38113324,62.95067948566937,1.0,0.88232421875,0.0,0.9999949935065884,True,False,False,False,False
2020-03-20,61.79499816894531,62.95750045776367,57.0,57.310001373291016,56.77274703979492,401693200,60.78800048828125,68.34387454986572,75.0346997833252,64.76653699962829,69.12020961043899,-4.353672610810705,-3.292705198913773,-1.060967411896932,33.86071148191547,57.0,76.0,1.6315861752158718,9.121416612526811,68.34387454986572,79.41611026007466,57.271638839656774,5.021071297781808,-0.0634855517755936,-2191755200,72.4547076420517,-17.530667163198068,-26.77207652703416,5.536117855104472,71731267.25912781,61.61119139781061,1.0,0.97119140625,1.0,0.9981887550259128,True,False,False,False,False
2020-03-23,57.02000045776367,57.125,53.15250015258789,56.09249877929688,55.56665802001953,336752800,59.895999908447266,67.4212495803833,74.60839973449707,63.43206958111576,68.15519399331735,-4.723124412201592,-3.578789041571337,-1.1443353706302553,34.60242997602262,53.15250015258789,75.8499984741211,12.95296329604661,8.679301131002742,67.4212495803833,79.35916753914285,55.48333162162376,4.993035452706473,-0.0212441557288383,-2528508000,71.95022465847512,-7.365513852511807,-24.75350438379319,5.96895897937977,70044023.08003311,63.79995366209608,1.0,0.97314453125,1.0,0.9987350539454246,True,False,False,False,False
2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,61.14140701293945,287531200,59.59700012207031,66.90624980926513,74.2911498260498,63.16867444874459,67.67851304719778,-4.509838598453193,-3.7649989529477086,-0.7448396455054844,37.30454702266998,53.15250015258789,74.88749694824219,39.41800014356673,18.000849871609738,66.90624980926513,78.89740635486405,54.91509326366622,5.158035823277065,0.100325401147636,-2240976800,71.68781591192995,-2.3649433335065195,-14.30157720419013,5.995578272799455,68116573.84276953,76.15138515625242,1.0,0.72802734375,0.0,0.9999959466272526,True,False,False,False,False
2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,60.80458831787109,303602000,59.5395004272461,66.31712493896484,73.93394989013672,62.89349392864776,67.21195660430278,-4.31846267565502,-3.875691697489171,-0.4427709781658491,38.796442597225735,53.15250015258789,72.70500183105469,42.079019098555065,31.4833275127228,66.31712493896484,78.17105729308665,54.46319258484303,5.204821722848075,-0.0055087515531973,-2544578800,71.41600087213459,-0.4662074451781239,-16.10455855355123,5.926966177060903,63312662.00265739,60.92446557949754,1.0,0.9423828125,1.0,0.9994294466657446,True,False,False,False,False
2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,64.00431060791016,252087200,60.22250061035156,66.12862510681153,73.66274993896485,63.15757187967912,67.01921912326937,-3.861647243590248,-3.8728828067093866,0.0112355631191385,43.06569353164804,53.15250015258789,71.61000061035156,62.075038188306635,47.857352476809474,66.12862510681153,77.96432330087568,54.29292691274737,5.231071472167969,0.0526229958623152,-2292491600,71.27017366633527,5.580522808330324,-5.51330329700761,5.917849097032078,64566778.79253875,59.71548849896039,1.0,0.88232421875,0.0,0.9999898678719896,True,False,False,False,False
2020-03-27,63.1875,63.96749877929688,61.76250076293945,61.935001373291016,61.35438537597656,204216800,61.14750061035157,65.80837535858154,73.34474998474121,62.96948410946556,66.64261040104874,-3.6731262915831806,-3.832931503684146,0.1598052121009647,45.57842498918427,53.15250015258789,71.61000061035156,47.58228905804519,50.578782114968966,65.80837535858154,77.73837240310846,53.87837831405463,4.969642911638532,-0.0414022475126237,-2496708400,71.11090292177505,8.070144633001973,-9.372249499300022,5.964998522263455,61968354.20976877,63.22058473733355,1.0,0.90185546875,0.0,0.9999884376334164,True,False,False,False,False
2020-03-30,62.685001373291016,63.880001068115234,62.34999847412109,63.70249938964844,63.10531234741211,167976400,62.669500732421874,65.25837535858155,73.0426000213623,63.08225569103216,66.42482440020427,-3.342568709172113,-3.734858944781739,0.392290235609626,42.224033630741495,53.15250015258789,70.30500030517578,61.50706394524539,57.05479706386574,65.25837535858155,76.45350786627648,54.06324285088662,4.746607371738979,0.0285379507090741,-2328732000,71.00837486160158,13.566877525449671,-14.72507625564704,5.597566253847465,67161149.0908593,62.8172898190592,1.0,0.91943359375,1.0,0.9988483897630158,True,False,False,False,False
2020-03-31,63.900001525878906,65.62249755859375,63.0,63.5724983215332,62.97653198242188,197002000,63.04000015258789,64.82050018310547,72.72039993286133,63.157677634186165,66.21354098696938,-3.055863352783213,-3.599059826382034,0.5431964735988211,44.345174514034255,53.15250015258789,69.9800033569336,61.92242570041138,57.00392623456733,64.82050018310547,75.52536182718718,54.11563853902375,4.69321414402553,-0.0020407530216366,-2525734000,70.88961210086589,3.0014534416578753,-12.107705361292377,5.3524308220408585,69591763.56037968,63.77946231849438,1.0,0.99169921875,1.0,0.9999953509740246,True,False,False,False,False
2020-04-01,61.625,62.18000030517578,59.782501220703125,60.227500915527344,59.66289520263672,176218400,62.80950012207031,64.04762535095215,72.34209991455079,62.70688121593096,65.77013061130701,-3.0632493953760473,-3.491897740180837,0.4286483448047895,47.88561743137357,53.15250015258789,69.9800033569336,42.044269295472986,55.15791964704325,64.04762535095215,73.62208069966533,54.47317000223896,4.474106924874442,-0.0526170513086922,-2701952400,70.73943239346056,-1.8776476580848025,-20.423461903529205,4.7872276743565925,72212702.78509176,64.26776790507476,1.0,0.97705078125,1.0,0.999949101897305,True,False,False,False,False
2020-04-02,60.084999084472656,61.28749847412109,59.22499847412109,61.23249816894531,60.658470153808594,165934000,62.13399963378906,63.447750091552734,71.97824981689453,62.48005305485625,65.4340096896506,-2.953956634794345,-3.384309519103539,0.4303528843091939,38.79087586789683,53.15250015258789,65.62249755859375,64.79550679349697,56.254067263127105,63.447750091552734,72.0542995680697,54.841200615035774,4.055535180228096,0.0166866836269288,-2536018400,70.61498943019173,-5.227522689212172,-16.383319183409995,4.30327473825848,73796395.91312529,62.22630372854032,1.0,0.93017578125,0.0,0.9986320894665623,True,False,False,False,False
2020-04-03,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,59.78672409057617,129880000,61.81749954223633,62.85250015258789,71.58914978027343,62.152737341113344,65.05760163230813,-2.904864291194791,-3.2884204735217892,0.3835561823269984,49.65259541947302,53.15250015258789,65.62249755859375,57.73859070308831,54.85945559735275,62.85250015258789,70.48522368634738,55.2197766188284,3.4976779392787383,-0.014371408643005,-2665898400,70.51091058245396,-2.5550987691527083,-16.47579674023737,3.816361766879748,80200569.96600197,58.02795763788622,1.0,0.7431640625,0.0,0.999887239754208,True,False,False,False,False
